c,i,id,l1_c,l1_i,language,type
went,came,person_2470,anava,venia,Catalan,RV
guy,fella,person_2470,xicot,noi,Catalan,RN
argument,discussion,person_439,argument,discussió,Catalan,RN
can,do,person_439,pot,fer,Catalan,RV
trips,journeys,person_439,viatges,viatges,Catalan,RN
forget,leave,person_2066,oblidar,deixar,Catalan,RV
WAITING,WRITING,person_1000,espera,escriure,Catalan,RV
BEHAVE,ACT,person_1000,es comporten,actuar,Catalan,RV
include,introduce,person_1823,inclouen,introduir,Catalan,RV
facts,topics,person_1823,fets,temes,Catalan,RN
talk,communicate,person_1823,parlar,comunicar,Catalan,RV
attend,join,person_1823,assistir,unir,Catalan,RV
going,doing,person_1823,anant,fent,Catalan,RV
attend,join,person_1823,assistir,unir,Catalan,RV
great,important,person_254,gran,important,Catalan,RJ
clearest,cleanest,person_254,,,Catalan,RJ
seen,read,person_889,vist,llegir,Catalan,RV
areas,topics,person_889,àrees,temes,Catalan,RN
would,could,person_889,vols,podria,Catalan,RV
technologies,facilities,person_889,tecnologies,instal·lacions,Catalan,RN
tea,tee,person_889,tetera,tee,Catalan,RN
trip,travel,person_501,viatge,viatges,Catalan,RN
trip,travel,person_501,viatge,viatges,Catalan,RN
paid,gave,person_501,pagat,donava,Catalan,RV
organised,done,person_2667,organitzat,fet,Catalan,RV
see,know,person_2667,veure,saber,Catalan,RV
Also,Besides,person_2667,també,més,Catalan,RY
begin,became,person_2667,començar,esdevingué,Catalan,RV
sincerely,faithfully,person_2667,sincerament,fidelment,Catalan,RY
face,wall,person_2667,cara,paret,Catalan,RN
shower,rain,person_2667,dutxa,pluja,Catalan,RN
help,helping,person_2667,ajuda,ajudar,Catalan,RN
companions,partners,person_2667,companys,socis,Catalan,RN
is,has,person_562,és,ha,Catalan,RV
could,would,person_562,podria,vols,Catalan,RV
Also,Besides,person_562,també,més,Catalan,RY
olden,old,person_562,,vell,Catalan,RJ
convenient,comfortable,person_562,convenient,còmode,Catalan,RJ
running,process,person_562,executant,procés,Catalan,RN
outfit,dress,person_3038,vestit,vestit,Catalan,RN
will,can,person_3038,es,pot,Catalan,RV
imagine,think,person_3038,imaginar,pensar,Catalan,RV
always,all,person_3038,sempre,tots els,Catalan,RY
ending,losing,person_3038,acabant,perdre,Catalan,RV
tradition,fashion,person_3038,tradició,moda,Catalan,RN
irritable,nervous,person_3101,irritable,nerviós,Catalan,RJ
atmosphere,air,person_3101,ambient,aire,Catalan,RN
sorry,afraid,person_3074,ho sentim,por,Catalan,RJ
serious,grave,person_3074,seriós,greu,Catalan,RJ
definitely,hardly,person_3074,definitivament,penes,Catalan,RY
want,like,person_3074,volen,agrada,Catalan,RV
objects,symbols,person_3074,objectes,símbols,Catalan,RN
idea,clue,person_3074,idea,pista,Catalan,RN
sit,get,person_3074,seure,aconseguir,Catalan,RV
provided,answered,person_3305,proporcionat,contestades,Catalan,RV
dress,dressing,person_3305,vestit,amaniment,Catalan,RN
will,must,person_2799,es,ha,Catalan,RV
walk,walking,person_2799,passeig,senderisme,Catalan,RN
will,can,person_2799,es,pot,Catalan,RV
large,big,person_2799,gran,gran,Catalan,RJ
times,periods,person_2799,vegades,períodes,Catalan,RN
wander,wonder,person_2799,vagar,pregunto,Catalan,RV
tour,visit,person_2799,tour,visita,Catalan,RN
plans,projects,person_2799,plans,projectes,Catalan,RN
homes,houses,person_3240,cases,cases,Catalan,RN
gets,is,person_3240,aconsegueix,és,Catalan,RV
walk,walking,person_3019,passeig,senderisme,Catalan,RN
throwing,doing,person_3019,llançant,fent,Catalan,RV
vicinity,area,person_3019,proximitats,àrea,Catalan,RN
will,can,person_3019,es,pot,Catalan,RV
ways,meanings,person_3019,maneres,significats,Catalan,RN
made,done,person_3019,fet,fet,Catalan,RV
jobs,works,person_3019,feines,obres,Catalan,RN
jobs,works,person_3019,feines,obres,Catalan,RN
smaller,minor,person_3019,menor,menor,Catalan,RJ
get,take,person_3019,aconseguir,prendre,Catalan,RV
use,enter,person_3033,,,Catalan,RV
hope,wish,person_556,희망,소원,Korean,RV
wanting,willing,person_1298,원하는,기꺼이,Korean,RV
imposing,putting,person_1298,당당한,퍼 팅,Korean,RV
classical,classic,person_134,고전,고전적인,Korean,RJ
will,can,person_134,됩니다,수,Korean,RV
have,get,person_134,가지고,얻을,Korean,RV
very,so,person_284,매우,그래서,Korean,RY
suffocated,stuffy,person_284,,답답한,Korean,RJ
varied,various,person_284,다양 한,다양 한,Korean,RJ
very,so,person_284,매우,그래서,Korean,RY
very,so,person_284,매우,그래서,Korean,RY
very,so,person_284,매우,그래서,Korean,RY
country,county,person_284,국가,카운티,Korean,RN
location,place,person_284,위치,장소,Korean,RN
expected,supposed,person_472,예상,했어야,Korean,RV
organising,making,person_472,조직,만들기,Korean,RV
arranging,providing,person_571,정렬,제공,Korean,RV
offer,help,person_571,제공,도움이,Korean,RV
organised,developed,person_571,주관,개발,Korean,RV
done,spent,person_571,행해진다,보냈다,Korean,RV
normal,proper,person_1008,정상적인,올바른,Korean,RJ
attendees,audiences,person_1008,참석자,관객,Korean,RN
prefer,do,person_1008,선호,할,Korean,RV
entertaining,amusing,person_2265,접대,재미난,Korean,RN
take,bring,person_2265,걸릴,가져올,Korean,RV
performing,playing,person_1588,수행,재생,Korean,RV
greatly,highly,person_1588,크게,높게,Korean,RY
started,became,person_1588,시작,되었다,Korean,RV
on,available,person_419,에,유효한,Korean,RJ
had,are,person_419,했다,됩니다,Korean,RV
do,have,person_419,할,가지고,Korean,RV
find,search,person_419,찾을,검색할,Korean,RV
role,roll,person_2093,역할,롤,Korean,RN
make,say,person_2093,만들,말할,Korean,RV
get,have,person_2093,얻을,가지고,Korean,RV
wasted,blew,person_2093,낭비,불 었 다,Korean,RV
clothes,cloths,person_2093,옷,피복,Korean,RN
role,roll,person_2093,역할,롤,Korean,RN
clothes,cloth,person_2093,옷,피복,Korean,RN
upsetting,upset,person_423,화나게,화가,Korean,RJ
tells,talks,person_423,알려줍니다,이야기,Korean,RV
trusted,believed,person_423,신뢰할 수 있는,믿 었 다,Korean,RV
thinking,considering,person_423,생각,고려,Korean,RV
had,got,person_423,했다,있어,Korean,RV
trust,believe,person_423,믿어,믿는,Korean,RV
told,talked,person_423,말했다,얘기,Korean,RV
became,got,person_1163,되었다,있어,Korean,RV
chef,chief,person_1163,요리사,수석,Korean,RN
problem,trouble,person_1163,문제,말썽,Korean,RN
so,too,person_1163,그래서,너무,Korean,RY
now,actually,person_1163,지금,실제로,Korean,RY
what,how,person_1163,무엇,방법,Korean,RY
disappointed,disappointing,person_1188,실망,실망,Korean,RJ
displayed,showed,person_1188,표시,보여주었다,Korean,RV
seen,shown,person_1188,본,표시,Korean,RV
opportunities,chances,person_1893,기회,기회,Korean,RN
said,misled,person_687,말했다,그릇 인도,Korean,RV
developed,developing,person_687,개발,개발,Korean,RJ
will,should,person_1664,됩니다,해야,Korean,RV
play,do,person_1664,재생,할,Korean,RV
extent,amount,person_1664,넓이,금액,Korean,RN
affect,affection,person_1664,영향,애정,Korean,RN
take,bring,person_696,걸릴,가져올,Korean,RV
went,get,person_132,갔다,얻을,Korean,RV
great,grateful,person_132,위대한,감사,Korean,RJ
colleagues,colleges,person_132,동료,대학,Korean,RN
understanding,understandable,person_132,이해,이해할,Korean,RJ
didn't,wouldn't,person_132,하지 않았다,wouldnt,Korean,RV
manager,runner,person_285,관리자,러너,Korean,RN
just,only,person_100,그냥,만,Korean,RY
stadiums,pitches,person_2349,경기장,투구,Korean,RN
gave,inform,person_1456,준,알릴,Korean,RV
actual,real,person_1240,실제,진짜,Korean,RJ
tasks,stuffs,person_1240,작업,넣어서,Korean,RN
environment,nature,person_1240,환경,자연,Korean,RN
Staff,Stuff,person_2429,직원,물건,Korean,RN
totally,absolutely,person_2429,완전히,절대적 으로,Korean,RY
give,do,person_2429,줄,할,Korean,RV
fabrics,cloths,person_2429,직물,피복,Korean,RN
describe,answer,person_2617,설명,대답할,Korean,RV
appliances,products,person_2617,가전 제품,제품,Korean,RN
juicer,juice,person_2617,과즙 짜는 기구,주스,Korean,RN
thanks,owing,person_2617,덕분,때문,Korean,RJ
have,get,person_2617,가지고,얻을,Korean,RV
went,get,person_2498,갔다,얻을,Korean,RV
have,be,person_2498,가지고,될,Korean,RV
too,so,person_2498,너무,그래서,Korean,RY
dressed,wear,person_2498,입고,착용,Korean,RV
future,further,person_2498,미래의,더,Korean,RJ
times,days,person_2498,번,일,Korean,RN
restaurant,testament,person_1813,레스토랑,유언,Korean,RN
still,till,person_1813,아직도,까지,Korean,RY
made,changed,person_1813,만든,변경,Korean,RV
receive,take,person_1031,받을,걸릴,Korean,RV
country,county,person_1031,국가,카운티,Korean,RN
allowed,made,person_1031,허용,만든,Korean,RV
ago,before,person_405,전,하기 전에,Korean,RY
means,way,person_2663,수단,방법,Korean,RN
then,after,person_2663,다음,후,Korean,RY
swallow,ate,person_2663,삼 키는,먹었어요,Korean,RV
burgle,steal,person_2663,,훔치는,Korean,RV
missed,lost,person_2474,놓친,잃어버린,Korean,RV
efficiently,effectively,person_2474,효율적 으로,효과적 으로,Korean,RY
so,such,person_1988,그래서,그러한,Korean,RY
hope,wish,person_1988,희망,소원,Korean,RV
after,later,person_1988,후,나중,Korean,RY
trip,travel,person_1205,여행,여행,Korean,RN
countryside,nature,person_1205,시골,자연,Korean,RN
what,how,person_1205,무엇,방법,Korean,RY
pack,prepare,person_1205,포장,준비,Korean,RV
scenario,scenery,person_1205,시나리오,경관,Korean,RN
be,go,person_15,될,갈,Korean,RV
helped,make,person_15,도왔습니다,만들,Korean,RV
Now,How,person_2647,지금,방법,Korean,RY
countryside,nature,person_2647,시골,자연,Korean,RN
brilliant,wonderful,person_999,화려한,멋진,Korean,RJ
opportunity,chance,person_999,기회,기회,Korean,RN
work,works,person_999,작업,작품이,Korean,RN
autographs,signatures,person_999,사인,서명,Korean,RN
ago,before,person_268,전,하기 전에,Korean,RY
really,very,person_268,정말,매우,Korean,RY
been,gone,person_268,오셨나요,사라 졌 어 요,Korean,RV
know,think,person_268,알고,생각,Korean,RV
band,bend,person_1310,밴드,벤드,Korean,RN
trip,travel,person_862,여행,여행,Korean,RN
always,ever,person_2180,항상,이제 까지,Korean,RY
afterwards,after,person_75,이후에,후,Korean,RY
take,apply,person_2436,걸릴,적용,Korean,RV
have,feel,person_2436,가지고,느낌,Korean,RV
bring,carry,person_2436,가져올,나 른 다,Korean,RV
received,had,person_456,받은,했다,Korean,RV
resist,stand,person_66,저항,서,Korean,RV
give,inform,person_72,줄,알릴,Korean,RV
been,had,person_72,오셨나요,했다,Korean,RV
mood,mode,person_72,기분,모드,Korean,RN
costing,using,person_72,원가계산,사용,Korean,RV
be,have,person_2025,될,가지고,Korean,RV
photographs,photography,person_2025,사진,사진,Korean,RN
photographs,photography,person_2025,사진,사진,Korean,RN
better,more,person_2025,더 나은,더,Korean,RY
watch,see,person_2025,시계,참조,Korean,RV
acquiring,knowing,person_2025,취득,알면,Korean,RV
like,lie,person_2772,좋아,거짓말,Korean,RV
opportunity,chance,person_315,기회,기회,Korean,RN
question,answer,person_315,질문,대답,Korean,RN
really,very,person_2567,정말,매우,Korean,RY
people,audience,person_476,사람들,관객,Korean,RN
opinion,idea,person_476,의견,아이디어,Korean,RN
classical,classic,person_476,고전,고전적인,Korean,RJ
take,get,person_891,걸릴,얻을,Korean,RV
include,enclose,person_891,포함,묶습니다,Korean,RV
hope,wish,person_84,희망,소원,Korean,RV
too,either,person_84,너무,어느 쪽,Korean,RY
make,let,person_84,만들,하자,Korean,RV
task,work,person_84,작업,작업,Korean,RN
enjoy,join,person_84,즐길,가입,Korean,RV
hope,wish,person_84,희망,소원,Korean,RV
towels,towers,person_845,수건,타워,Korean,RN
autograph,signature,person_845,오토 그래프,서명,Korean,RN
go,do,person_1807,갈,할,Korean,RV
requested,required,person_1998,요청,필요한,Korean,RV
autographs,autobiographies,person_1998,사인,,Korean,RN
stage,start,person_1780,무대,스타트,Korean,RN
pack,prepare,person_1949,포장,준비,Korean,RV
opportunity,chance,person_1949,기회,기회,Korean,RN
maniac,mania,person_1949,미치광이,매니아,Korean,RN
Korea,Korean,person_1592,한국,한국어,Korean,RN
first,firstly,person_2462,먼저,첫째,Korean,RY
beginner,beginning,person_1157,초급,시작,Korean,RN
pack,prepare,person_1779,팩,준비,Korean,RN
popular,favorite,person_1779,인기,좋아하는,Korean,RJ
game,play,person_1779,게임,플레이,Korean,RN
worthwhile,worthy,person_814,보람,가치가,Korean,RJ
pleased,pleasant,person_814,기쁘게 생각,괜찮음,Korean,RJ
have,be,person_2508,가지고,될,Korean,RV
trends,rage,person_1002,동향,분노,Korean,RN
means,is,person_928,의미,은,Korean,RV
create,make,person_102,만들,만들,Korean,RV
on,into,person_102,에,으로,Korean,RY
appearance,view,person_927,모양을,보기,Korean,RN
space,place,person_927,공간,장소,Korean,RN
great,whole,person_927,위대한,전체,Korean,RJ
appearance,view,person_927,모양을,보기,Korean,RN
think,regard,person_1530,생각,주시,Korean,RV
grateful,appreciated,person_1530,감사,극명,Korean,RJ
electrical,electric,person_1530,전기,전기,Korean,RJ
see,know,person_1727,참조,알고,Korean,RV
great,grateful,person_1727,위대한,감사,Korean,RJ
attend,admit,person_563,참석,인정,Korean,RV
great,grateful,person_563,위대한,감사,Korean,RJ
made,give,person_563,만든,줄,Korean,RV
control,controller,person_563,컨트롤,컨트롤러,Korean,RN
built,devised,person_563,내장,고안,Korean,RV
more,better,person_563,더,더 나은,Korean,RY
arranged,prepared,person_3061,배열,준비,Korean,RV
will,do,person_3061,됩니다,할,Korean,RV
exhibition,exposition,person_3061,전시,박람회,Korean,RN
exhibition,exposition,person_3061,전시,박람회,Korean,RN
exhibition,exposition,person_3061,전시,박람회,Korean,RN
great,big,person_3061,위대한,큰,Korean,RJ
especially,specially,person_3061,특히,특별히,Korean,RY
requested,required,person_3062,요청,필요한,Korean,RV
elected,voted,person_3071,선출,투표,Korean,RV
dinner,diner,person_3071,저녁 식사,식당,Korean,RN
clothes,cloth,person_3071,옷,피복,Korean,RN
sad,sorry,person_3108,슬픈,미안,Korean,RJ
goes,runs,person_3108,간다,실행,Korean,RV
route,way,person_3121,경로,방법,Korean,RN
give,have,person_3245,줄,가지고,Korean,RV
causes,makes,person_3285,원인이,만드는,Korean,RV
provide,offer,person_3236,,,Korean,RV
said,written,person_2340,dit,écrit,French,RV
have,put,person_2340,ont,mettre,French,RV
well,fit,person_2340,bien,apte,French,RJ
stay,say,person_2340,rester,dire,French,RV
wonderful,beautiful,person_2779,merveilleux,belle,French,RJ
sincerely,faithfully,person_2779,sincèrement,fidèlement,French,RY
also,even,person_2779,également,même,French,RY
ordinary,casual,person_2779,ordinaire,occasionnel,French,RJ
would,could,person_123,serait,pourrait,French,RV
last,least,person_123,dernière,moins,French,RJ
sincerely,faithfully,person_123,sincèrement,fidèlement,French,RY
might,can,person_123,pourrait,peut,French,RV
feet,legs,person_123,pieds,jambes,French,RN
would,could,person_123,serait,pourrait,French,RV
politeness,polite,person_123,politesse,poli,French,RN
have,make,person_107,ont,faire,French,RV
absolutely,very,person_107,absolument,très,French,RY
hold,make,person_107,tenir,faire,French,RV
sincerely,faithfully,person_107,sincèrement,fidèlement,French,RY
went,took,person_107,suis allé,pris,French,RV
lock,close,person_107,verrouiller,fermer,French,RV
lock,close,person_107,verrouiller,fermer,French,RV
couldn't,didn't,person_107,ne pouvais pas,ne,French,RV
do,make,person_107,faire,faire,French,RV
Giving,Offering,person_477,donner,offrant,French,RV
angel,angle,person_477,ange,angle,French,RN
take,bring,person_477,prendre,apporter,French,RV
describe,express,person_461,décrire,manifester,French,RV
fun,enjoyment,person_461,amusant,jouissance,French,RN
last,next,person_461,dernière,prochaine,French,RJ
happen,have,person_461,arriver,ont,French,RV
events,attractions,person_461,événements,attractions,French,RN
size,space,person_461,taille,espace,French,RN
be,have,person_461,être,ont,French,RV
so,then,person_461,donc,puis,French,RY
school,lessons,person_461,école,leçons,French,RN
sincerely,faithfully,person_2739,sincèrement,fidèlement,French,RY
get,have,person_2739,obtenir,ont,French,RV
campsite,camping,person_2666,camping,camping,French,RN
especially,specially,person_2666,surtout,spécialement,French,RY
living,life,person_2666,vécue,vie,French,RN
space,place,person_969,espace,endroit,French,RN
chance,possibility,person_969,chance,possibilité,French,RN
park,let,person_969,garer,laisser,French,RV
countryside,nature,person_969,campagne,nature,French,RN
spoke,had,person_969,parlé,avait,French,RV
organise,offer,person_954,organiser,proposer,French,RV
outdoor,outside,person_954,extérieur,extérieur,French,RJ
provide,create,person_954,fournir,créer,French,RV
class,course,person_954,classe,sûr,French,RN
take,have,person_954,prendre,ont,French,RV
take,be,person_954,prendre,être,French,RV
organising,making,person_1579,organisation,faire,French,RV
great,good,person_1579,grand,bon,French,RJ
get,have,person_1579,obtenir,ont,French,RV
offer,give,person_1579,proposer,donner,French,RV
buy,pay,person_1579,acheter,payer,French,RV
attending,seeing,person_1579,fréquentant,voir,French,RV
do,make,person_1579,faire,faire,French,RV
fair,just,person_1579,équitable,juste,French,RJ
excellent,good,person_238,excellent,bon,French,RJ
clever,wise,person_238,intelligent,sage,French,RJ
nose,noise,person_238,nez,bruit,French,RN
inaccurate,bad,person_383,inexactes,mauvais,French,RJ
came,went,person_383,suis venu,suis allé,French,RV
response,return,person_383,réponse,retour,French,RN
left,let,person_383,laissé,laisser,French,RV
moral,morality,person_383,morale,moralité,French,RN
writing,waiting,person_1370,écrit,attente,French,RV
advertised,presented,person_1370,annoncé,présenté,French,RV
dinner,diner,person_1370,dîner,resto,French,RN
claiming,pretending,person_1370,prétendant,prétendant,French,RV
customer,costumer,person_1370,client,costumier,French,RN
way,solutions,person_1370,façon,solutions,French,RN
here,there,person_1370,ici,là,French,RY
get,have,person_1372,obtenir,ont,French,RV
had,got,person_1372,avait,obtenu,French,RV
remembered,thought,person_1372,me suis souvenu,pensé,French,RV
ought,would,person_1372,devrait,serait,French,RV
became,came,person_1372,devint,suis venu,French,RV
angry,hungry,person_1372,fâché,faim,French,RJ
told,said,person_2256,dit,dit,French,RV
up,off,person_2256,jusqu'à,hors,French,RY
decor,decorations,person_2256,décor,décorations,French,RN
advertising,advertisement,person_2256,publicité,publicité,French,RN
come,become,person_2256,venir,devenir,French,RV
masculine,male,person_2256,masculin,sexe masculin,French,RJ
shows,spectacles,person_1028,spectacles,lunettes,French,RN
show,spectacle,person_1028,spectacle,lunettes,French,RN
stated,mentioned,person_1028,a déclaré,mentionné,French,RV
decor,decoration,person_1028,décor,décoration,French,RN
doing,following,person_1028,faire,suivants,French,RV
had,took,person_1028,avait,pris,French,RV
waited,went,person_1028,attendu,suis allé,French,RV
buttons,switch,person_838,boutons,interrupteur,French,RN
have,got,person_838,ont,obtenu,French,RV
overseas,overland,person_838,outre-mer,voie terrestre,French,RJ
time,timetable,person_1176,temps,calendrier,French,RN
discount,reduce,person_1176,escompte,réduire,French,RN
worse,worth,person_1176,pire,vaut,French,RJ
get,go,person_1176,obtenir,aller,French,RV
must,would,person_1176,doit,serait,French,RV
complain,contest,person_225,se plaignent,contester,French,RV
performing,playing,person_225,performants,jouer,French,RV
given,reached,person_225,donné,atteint,French,RV
customer,client,person_225,client,client,French,RN
devices,instruments,person_225,dispositifs,instruments,French,RN
allows,makes,person_225,permet,rend,French,RV
worried,nervous,person_225,inquiet,nerveux,French,RJ
relaxed,peaceful,person_225,détendu,paisible,French,RJ
not,no,person_1567,pas,aucun,French,RY
school,scholar,person_1567,école,érudit,French,RN
take,be,person_1567,prendre,être,French,RV
performed,played,person_2357,effectué,joué,French,RV
prevented,forbid,person_2357,empêché,interdire,French,RV
do,make,person_2357,faire,faire,French,RV
willpower,will,person_2357,volonté,va,French,RN
willpower,will,person_2357,volonté,va,French,RN
willpower,will,person_2357,volonté,va,French,RN
are,have,person_2008,sont,ont,French,RV
matters,points,person_2008,questions,points,French,RN
had,were,person_2008,avait,étaient,French,RV
leaving,giving,person_2008,laissant,donner,French,RV
there,here,person_2037,là,ici,French,RY
tell,take,person_2037,dire,prendre,French,RV
plan,search,person_2037,planifier,rechercher,French,RV
got,received,person_2037,obtenu,reçu,French,RV
problem,event,person_2023,problème,événement,French,RN
complaints,explanations,person_2023,plaintes,explications,French,RN
certain,sure,person_686,certains,sûr,French,RJ
stage,scene,person_686,stade,scène,French,RN
seats,places,person_686,sièges,endroits,French,RN
diary,agenda,person_686,journal,agenda,French,RN
use,phone,person_686,utiliser,téléphone,French,RV
allows,authorizes,person_686,permet,autorise,French,RV
studied,learned,person_686,étudié,appris,French,RV
particular,precise,person_686,particulier,précis,French,RJ
particular,personal,person_686,particulier,personnel,French,RJ
involves,uses,person_686,implique,utilise,French,RV
special,particular,person_686,spécial,particulier,French,RJ
side,end,person_686,côté,fin,French,RN
Sir,Mister,person_2427,monsieur,monsieur,French,RN
performed,played,person_2427,effectué,joué,French,RV
had,spent,person_2427,avait,passé,French,RV
perform,play,person_2427,effectuer,jouer,French,RV
annoyed,sorry,person_2427,ennuyé,désolé,French,RJ
play,pieces,person_2427,jeu,morceaux,French,RN
offered,proposed,person_2427,offert,proposé,French,RV
given,made,person_2427,donné,fait,French,RV
play,pieces,person_2427,jeu,morceaux,French,RN
play,piece,person_2427,jeu,morceau,French,RN
wanted,waned,person_2427,voulais,faibli,French,RV
see,notice,person_2427,voir,apercevoir,French,RV
explanation,excuse,person_1674,explication,excuse,French,RN
management,direction,person_1674,gestion,direction,French,RN
give,offer,person_1674,donner,proposer,French,RV
where,wherever,person_1674,où,partout où,French,RY
seat,place,person_1674,siège,endroit,French,RN
advertisement,advertising,person_899,publicité,publicité,French,RN
go,come,person_899,aller,venir,French,RV
entertained,pleased,person_899,amusés,plu,French,RV
performance,act,person_899,performance,acte,French,RN
very,so,person_899,très,donc,French,RY
time,hours,person_899,temps,heures,French,RN
advertisement,advertising,person_899,publicité,publicité,French,RN
worst,worth,person_899,pire,vaut,French,RJ
got,put,person_899,obtenu,mettre,French,RV
was,had,person_899,était,avait,French,RV
worse,worth,person_899,pire,vaut,French,RJ
get,be,person_899,obtenir,être,French,RV
right,correct,person_279,bon,correcte,French,RJ
would,could,person_279,serait,pourrait,French,RV
theatre,room,person_2556,théâtre,chambre,French,RN
play,piece,person_2556,jeu,morceau,French,RN
performance,program,person_2556,performance,programme,French,RN
renovation,reparations,person_734,rénovation,réparations,French,RN
would,could,person_734,serait,pourrait,French,RV
fault,mistake,person_734,faute,erreur,French,RN
do,make,person_734,faire,faire,French,RV
have,are,person_734,ont,sont,French,RV
true,respected,person_2350,vrai,respecté,French,RJ
disappointed,deceived,person_2350,déçu,trompé,French,RJ
publish,putting,person_2350,publier,mettre,French,RV
have,spent,person_2350,ont,passé,French,RV
wondering,wandering,person_2350,demande,errant,French,RV
aggressive,offensive,person_2350,agressif,offensive,French,RJ
get,go,person_2350,obtenir,aller,French,RV
mankind,human,person_2350,humanité,humain,French,RN
Closed,Close,person_870,fermé,proche,French,RJ
really,very,person_870,vraiment,très,French,RY
part,place,person_870,partie,endroit,French,RN
research,searches,person_870,recherche,recherches,French,RN
dependent,reliable,person_870,dépendant,fiable,French,RJ
wasn't,didn't,person_2362,wasn ' t,ne,French,RV
Obviously,Apparently,person_2362,évidemment,apparemment,French,RY
certainly,surely,person_2362,certainement,sûrement,French,RY
give,offer,person_2362,donner,proposer,French,RV
give,offer,person_699,donner,proposer,French,RV
statement,point,person_699,déclaration,point,French,RN
there,here,person_699,là,ici,French,RY
actor,man,person_699,acteur,homme,French,RN
tune,tone,person_699,auto-tune,tonalité,French,RN
give,offer,person_699,donner,proposer,French,RV
dinner,diner,person_699,dîner,resto,French,RN
again,still,person_699,nouveau,encore,French,RY
renovation,improvements,person_699,rénovation,améliorations,French,RN
attach,join,person_699,attacher,rejoindre,French,RV
still,yet,person_699,encore,encore,French,RY
have,got,person_699,ont,obtenu,French,RV
countryside,country,person_699,campagne,pays,French,RN
very,too,person_699,très,trop,French,RY
secret,story,person_699,secret,histoire,French,RN
left,went,person_699,laissé,suis allé,French,RV
peace,quietness,person_699,paix,tranquillité,French,RN
soon,fast,person_699,bientôt,vite,French,RY
again,more,person_699,nouveau,mieux,French,RY
get,obtain,person_1045,obtenir,obtenir,French,RV
interesting,attractive,person_1045,intéressant,attrayant,French,RJ
start,go,person_1045,commencer,aller,French,RV
provide,have,person_1045,fournir,ont,French,RV
price,prize,person_1656,prix,prix,French,RN
equipment,material,person_1656,équipement,matériel,French,RN
diving,dive,person_1656,plongée,plongée,French,RN
perform,played,person_2375,effectuer,joué,French,RV
performance,representation,person_2375,performance,représentation,French,RN
get,find,person_2375,obtenir,trouver,French,RV
have,drink,person_2375,ont,boire,French,RV
invention,discover,person_2375,invention,découvrir,French,RN
disappointed,disappointing,person_103,déçu,décevant,French,RJ
things,points,person_103,choses,points,French,RN
wrote,spoke,person_103,écrit,parlé,French,RV
invited,offered,person_103,invité,offert,French,RV
get,have,person_1278,obtenir,ont,French,RV
get,take,person_1278,obtenir,prendre,French,RV
stage,scene,person_1278,stade,scène,French,RN
when,where,person_1278,quand,où,French,RY
gave,made,person_2374,donné,fait,French,RV
travel,transport,person_2374,voyage,transport,French,RN
walking,waking,person_2374,marche,réveil,French,RV
means,way,person_2374,moyens,façon,French,RN
longer,older,person_2374,plus,âgés,French,RY
research,searches,person_2374,recherche,recherches,French,RN
shouldn't,don't,person_2412,shouldn ' t,ne,French,RV
Whole,All,person_2412,entier,tous,French,RJ
also,too,person_2412,également,trop,French,RY
invented,discovered,person_2412,inventé,découvert,French,RV
whole,All,person_2412,entier,tous,French,RJ
opportunity,possibility,person_648,occasion,possibilité,French,RN
trip,travel,person_1056,voyage,voyage,French,RN
saved,spared,person_1056,sauvé,épargné,French,RV
seen,attended,person_1056,vu,assisté,French,RV
definitely,absolutely,person_1056,certainement,absolument,French,RY
problems,troubles,person_1056,problèmes,ennuis,French,RN
annoyances,disagreements,person_1056,désagréments,désaccords,French,RN
thoughts,thinking,person_1056,pensées,pensée,French,RN
way,manner,person_1056,façon,manière,French,RN
hope,wish,person_1056,espère,souhaite,French,RV
appears,comes,person_1056,apparaît,vient,French,RV
performed,played,person_2749,effectué,joué,French,RV
be,do,person_2749,être,faire,French,RV
described,explained,person_2749,décrit,expliqué,French,RV
think,find,person_2775,pense,trouver,French,RV
replaced,changed,person_2775,remplacé,changé,French,RV
emphasis,stress,person_2775,accent,stress,French,RN
note,paper,person_2775,note,papier,French,RN
lose,loose,person_2775,perdre,perdre,French,RV
can,have,person_2775,peut,ont,French,RV
opportunities,possibilities,person_2775,opportunités,possibilités,French,RN
expensive,cheap,person_2775,cher,bon marché,French,RJ
makes,marks,person_2775,rend,marques,French,RN
getting,buying,person_2775,obtenir,acheter,French,RV
tense,nervous,person_2775,tendue,nerveux,French,RJ
would,did,person_1861,serait,fait,French,RV
show,entertainment,person_1861,spectacle,divertissement,French,RN
discount,reduction,person_1861,escompte,réduction,French,RN
price,pricing,person_1861,prix,tarification,French,RN
had,made,person_1861,avait,fait,French,RV
poor,mean,person_677,pauvres,veux dire,French,RJ
renovation,reparations,person_677,rénovation,réparations,French,RN
went,came,person_677,suis allé,suis venu,French,RV
had,passed,person_844,avait,passé,French,RV
right,correct,person_844,bon,correcte,French,RJ
don't,haven't,person_844,ne,havent,French,RV
mistake,fault,person_844,erreur,faute,French,RN
drink,drunk,person_844,boisson,ivre,French,RN
aren't,don't,person_844,aren ' t,ne,French,RV
told,explained,person_844,dit,expliqué,French,RV
spent,passed,person_844,passé,passé,French,RV
whole,all,person_844,entier,tous,French,RJ
told,say,person_844,dit,dire,French,RV
have,be,person_930,ont,être,French,RV
evening,entertainment,person_930,soir,divertissement,French,RN
