case_id,i_nn_1,i_nn_2,i_nn_3,i_nn_4,i_nn_5,i_nn_6,i_nn_7,i_nn_8,i_nn_9,i_nn_10,c_nn_1,c_nn_2,c_nn_3,c_nn_4,c_nn_5,c_nn_6,c_nn_7,c_nn_8,c_nn_9,c_nn_10,l1_i_nn_1,l1_i_nn_2,l1_i_nn_3,l1_i_nn_4,l1_i_nn_5,l1_i_nn_6,l1_i_nn_7,l1_i_nn_8,l1_i_nn_9,l1_i_nn_10,l1_c_nn_1,l1_c_nn_2,l1_c_nn_3,l1_c_nn_4,l1_c_nn_5,l1_c_nn_6,l1_c_nn_7,l1_c_nn_8,l1_c_nn_9,l1_c_nn_10
case_1797,should,cannot,MUST,will,may,can,have,msut,ought,need,neccessity,non-necessity,necesity,neccesity,Necessity,impossibility,necessity-,obviated,NECESSITY,impracticality,έπρεπε,δενπρέπει,Πρέπει,.πρέπει,μπορεί,χρειάζεται,θαπρέπει,καιπρέπει,πρέπεινα,πρεπει,αναγκαιότητά,αναγκαιότητας,ανάγκη,ναγκαιότητα,Αναγκαιότητα,επιτακτικότητα,αναγκαιότης,αναγκαιότητάς,αδήριτη,επιτακτική
case_1795,misjudges,missed,ignores,misses.,forgets,throws,neglects,miss,evades,dodges,mr,helen,mrs.,johu,mccormick,mildred,jennie,theodore,josephine,lillian,Δεσποινίδες,κυρίες,αριστοκράτισσες,δεσποινίδων,δεσποινιδες,δεσποινίδας,κοπέλλες,δεσποινίδα,κοπέλες,καλλιτέχνιδες,Κυρία,κυρία-,Kυρία,.Κυρία,-Κυρία,δεσποινίς,κυρία.-,κυρία.,κυριούλα,κυρίας
case_1794,job.That,job.Now,job-,job.This,job.But,jobs,job.The,job--,job.So,job--and,working,works,work.But,Work,work.The,job,worked,work.I,work.It,work.However,δουλεια,δουλειά.Η,εργασία,δουλειά.-,δουλειά-,δουλειά-σπίτι,δουλειάΗ,δουλειά.Σε,δουλειά.,στηδουλειά,δουλειά,εργασία-,-εργασία,εργασίαΗ,Εργασία,εργασία.,απασχόληση,εργασία.Η,εργασίας,χειρονακτική
case_1793,could,might,woud,wouldn,should,wold,wouild,wouls,woould,woudl,should,cannot,MUST,will,may,can,have,msut,ought,need,Θα,θὰ,να,.θα,θά,θαα,2.Θα,καιθα,δενθα,.Θα,έπρεπε,δενπρέπει,Πρέπει,.πρέπει,μπορεί,χρειάζεται,θαπρέπει,καιπρέπει,πρέπεινα,πρεπει
case_1792,had,been,'ve,already,ahve,haved,haven,can,never,hve,suffers,suffering,suffered,endure,suffereing,suffere,severe,succumb,afflicted,Suffer,εχουν,έ-χουν,είχαν,παραέχουν,έχουνε,πουέχουν,έχει,ἐχουν,Έχουν,-Έχουν,υποφέρονται,Υποφέρουν,υποφέρουνε,ὑποφέρουν,πάσχουν,υποφέρει,υποφέρουμε,υπέφεραν,βασανίζονται,καταθλίβονται
case_1791,co-worker,colleague,coworker,buddy,friends,freind,firend,schoolmate,cousin,frined,girlfriend,ex-boyfriend,fiance,fiancé,ex-girlfriend,fiancee,boyfriends,girlfirend,boyfirend,boy-friend,φίλο.,φίλο-η,φίλο-,κολλητό,συνεργάτη,συνάδελφό,αδερφό,παλιόφιλο,συνάδελφο,γερω-δάσκαλο,φίλο.,φίλο-η,φίλο-,κολλητό,συνεργάτη,συνάδελφό,αδερφό,παλιόφιλο,συνάδελφο,γερω-δάσκαλο
case_1790,suggesting,suggested,sugggest,suggests,suggets,indicate,consider,sugget,advise,suggestion,disagree,agreee,concur,diagree,agrre,Agree,disgree,dis-agree,agree.I,dissagree,αντιπροτείνουν,εισηγούνται,πρότειναν,προτείνουνε,προτείνει,Προτείνουν,προτείνονται,συστήνουν,επιλέγουν,προτείνουμε,διαφωνούν,συμφωνήσουν,Συμφωνούν,συμφωνούνε,συμφωνούσαν,συναποδέχονται,συναινούν,αποδέχονται,υποστηρίζουν,συμφώνησαν
case_1789,job.That,job.Now,job-,job.This,job.But,jobs,job.The,job--,job.So,job--and,employers,employee,employer.If,employer.The,employeer,emplyer,employer.,employer-,employer.I,non-employer,δουλεια,δουλειά.Η,εργασία,δουλειά.-,δουλειά-,δουλειά-σπίτι,δουλειάΗ,δουλειά.Σε,δουλειά.,στηδουλειά,εργοδότη.,εργοδότη-,εργαζόμενου-εργοδότη,εργοδότη-εργαζόμενου,εργοδοτούμενου,εργοδότου,εργοδότην,εργοδότης,εργαζόμενο,Εργοδότη
case_1788,gives,giving,gave,Give,provide,get,gve,want,take,ask,sitting,sat,Sit,relax,plop,sit.I,stand,sittting,hunker,idly,δίνει,έδωσε,δώσουν,πάρει,ναδώσει,δοθεί,έδινε,ξαναδώσει,δωσει,δώσουμε,καθήσει,κάτσει,κάθεται,καθίσουν,ξανακαθίσει,ξαπλώσει,στρογγυλοκαθίσει,κάθισε,ανακαθίσει,καθόταν
case_1796,loves,adores,appreciates,relishes,Enjoys,enjoying,enjoyes,likes,cherishes,enjoy,doesn,DOES,doesnt,Does,doens,not,mean,dosen,doest,did,Απολαμβάνει,απολάμβανε,απολαμβάνουν,απολαύσει,απολαμβάνεται,απολαμβάνοντας,απολαύει,χαίρεται,απολαμβάνε,απολαμβανει,έκανε,κανει,νακάνει,Κάνει,κάνουν,-κάνει,ξανακάνει,κάνεις,κάνει.Με,-έκανε
case_1763,profs,Professors,lecturers,faculty,proffessors,academics,students,professor,undergrads,deans,educators,non-teachers,schoolteachers,teachers-in-training,teacher,teachers.The,students,Teachers,non-teacher,teachers-,Καθηγητές,καθηγητές.,καθηγητές-,καθηγητάδες,καθηγητές-τριες,διδάσκοντες,φοιτητές,καθηγητὲς,καθηγητες,καθηγηταράδες,διδάσκαλοι,εκπαιδευτικοί,δάσκαλοι-,Δάσκαλοι,παιδαγωγοί,δασκάλοι,δάσκαλοί,δασκαλοι,νηπιαγωγοί,καθηγητές
case_1762,wager,bet.I,bet.If,bets,bet.The,bet.,bippy,betting,guess,bettin,beds,bed.The,bed-,bed.,bed.This,bed.I,bed.In,bed.When,bed.But,bed.Now,στοίχημαTo,στοίχημα18,στοίχημα-,στοίχημά,στοίχημαOnline,στοίχημαLive,Στοίχημα,στοιχηματάκι,στοίχηµα,σιγουράκι,κρεββάτι,κρεβάτι.,κρεβάτι-,κρεβάτ,κρεβάτι.Η,κρεβάτιΤο,κρεββατάκι,κρεβάτι4,κρεβάτι.Το,καναπέσ-κρεβάτι
case_1761,follw,folow,folllow,Follow,follow.If,follow.So,followed,ollow,follow.You,.follow,attending,attended,attend.If,attends,Attend,attend.I,attend.This,participate,attend.The,attend.We,Ακολουθήστε,.Ακολουθήστε,ΜΜΕΑκολουθήστε,PΑκολουθήστε,ακολουθείστε,Ακουλουθήστε,ΜΑΣΑκολουθήστε,00Ακολουθήστε,ακολουθήσετε,VICHYΑκολουθήστε,παρακολουθούν,παρευρεθούν,παρακολουθήσει,παρακολούθησαν,παρακολουθησουν,απολαύσουν,δουν,συμμετάσχουν,παραβρεθούν,παρακολουθήσαν
case_1737,trips,trip.This,trip.So,mini-trip,trip-,trip.It,excursion,jaunt,trip.Now,trip.The,holidays,holdiay,holday,holiday.This,holiday.But,holiday.It,hoilday,holidy,Holiday,holiday.And,ταξίδι-,ταξίδι.Η,ταξίδιΗ,ταξίδι.,ταξίδι.Ο,ταξίδι.Το,ταξίδιΤο,ταξίδιι,ταξείδι,ταξίδιν,διακοπών.,διακοπών-,εκδρομώνδιακοπών,εκδρομών-διακοπών,ιακοπών,διακοπές,διακοπώνLe,Διακοπών,διακοπώνElgin,διακοπώνHobbs
case_1736,traveling,travelling,tavel,Travel,travels,trave,travel.,travel.I,travel.If,travel.The,trips,trip.This,trip.So,mini-trip,trip-,trip.It,excursion,jaunt,trip.Now,trip.The,ταξίδια-,Tαξίδια,ταξίδια.,ταξιδάκια,Ταξίδια,Σαξίδια,ταξείδια,ταξιδια,Ταξιδάκια,ταξίδια--οδθγοί,ταξίδι-,ταξίδι.Η,ταξίδιΗ,ταξίδι.,ταξίδι.Ο,ταξίδι.Το,ταξίδιΤο,ταξίδιι,ταξείδι,ταξίδιν
case_1735,weary,fatigued,exhausted,TIRED,bored,Tired,sick,cranky,exausted,dead-tired,exhausting,tiresome,tedious,wearying,exausting,arduous,wearisome,Tiring,tiring.,stressful,Κουρασμένος,καταπονημένος,εξουθενωμένος,κατακουρασμένος,ταλαιπωρημένος,αγχωμένος,εξαντλημένος,ξεθεωμένος,κατάκοπος,ξαλαφρωμένος,Κουραστική,βαρετή,κουραστικό,αγχωτική,κουραστικη,κοπιαστική,πληκτική,βασανιστική,απαιτητική,κουραστικά
case_1734,have,been,hadn,got,was,were,wished,knew,wanted,Had,were,wasn,had,wass,came,seemed,wasw,went,initially,waqs,είχαν,ειχε,έχει,Είχε,είχει,είχα,.είχε,-είχε,εἶχε,είχανε,ηταν,ήτανε,Ήταν,υπήρξε,είναι,πουήταν,θαήταν,φαινόταν,αποδείχτηκε,δενήταν
case_1733,humour,humor.And,humor.I,humor.In,humor.,humor-,humor.The,lightheartedness,light-heartedness,humor.It,hilarious,amusing,hillarious,hilarous,funnny,funny.And,funny--and,funny.A,funny.That,humourous,χιούμορ.Η,χιούμορ-,χιούμορ.,χιούμορ.Το,αυτοσαρκασμό,χιούμορ.Θα,χιουμορ,αυτοσαρκασμού,αυτοσαρκαστικό,σαρκασμό,γελοίο,αστείο-,περίεργο,κακόγουστο,εξοργιστικό,χαζό,αστείο.,παράξενο,ειρωνικό,εξωφρενικό
case_1732,willl,wil,should,wiill,can,may,wll,'ll,would,wiil,need,don,know,wanna,you,get,wnat,can,wanted,decide,Θα,θὰ,να,.θα,θά,θαα,2.Θα,καιθα,δενθα,.Θα,επιθυμούν,ήθελαν,Θέλουν,-θέλουν,πολυθέλουν,θέλουννα,επιθυμούνε,μπορούν,-Θέλουν,προσπαθούν
case_1731,extremely,quite,VERY,incredibly,extrememly,extemely,fairly,EXTREMELY,extraordinarily,pretty,reallly,REALLY,actually,relaly,obviously,just,reallt,think,realllllllly,reallllly,αρκετά,πάρα,πολυ,εξαιρετικά,πιο,ιδιαίτερα,εξίσου,τόσο,πολύυυυ,πολύυυ,παραγματικά,αληθινά,πράγματικά,Πραγματικά,πράγματι,απίστευτα,όντως,απλά,σίγουρα,φανταστικά
case_1730,shall-,shallnot,andshall,shallbe,shaU,shall.,.shall,Shall,henceforth,sliall,ought,shoud,might,must,will,would,shoudl,shouldn,may,not,έπρεπε,δενπρέπει,Πρέπει,.πρέπει,μπορεί,χρειάζεται,θαπρέπει,καιπρέπει,πρέπεινα,πρεπει,έπρεπε,δενπρέπει,Πρέπει,.πρέπει,μπορεί,χρειάζεται,θαπρέπει,καιπρέπει,πρέπεινα,πρεπει
case_1738,make,making,made.So,mades,made.When,made.I,made.It,made.The,made.But,made.A,become,bacame,becoming,remained,becamse,Became,ecame,be-came,becomes,began,Κατασκευασμένα,φτιαγμένα,κατασκευασμένο,σχεδιασμένα,προκατασκευασμένα,κατασκευασμένες,ανακατασκευασμένα,κατασκευασμένη,επανακατασκευασμένα,κατασκευασμένοι,-έγινε,γίνει,εγινε,έγινε-έγινε,γινόταν,Eγινε,Έγινε,γίνεται,πραγματοποιήθηκε,ἔγινε
case_1729,making,makes,Make,made,amke,want,sure,create,Making,easier,Do,go,'t,want,don,know,so,if,I,think,έκαναν,νακάνουν,κανουν,Κάνουν,κάνουνε,ξανακάνουν,κάνει,προκάνουν,Kάνουν,.Κάνουν,νακάνουμε,Κάνουμε,κανουμε,ξανακάνουμε,κάνουμε.,πρωτοκάνουμε,.Κάνουμε,θέλουμε,ξεκινήσουμε,κάναμε
case_1727,staying,stayed,stays,Stay,Staying,stay.So,stay.If,stayng,saty,stayin,spend,Spending,spening,spent,spends,spending.But,spendng,non-spending,spending-,spending.I,παραμείνετε,Mείνετε,Παραμείνετε,μένετε,Μείνετε,αναμείνετε,είστε,µείνετε,εμμείνετε,μεινετε,δαπανούν,ξοδεύονται,ξοδέψουν,Ξοδεύουν,σπαταλούν,σπαταλάνε,δαπανήσουν,ξοδεύουμε,δαπανούνται,ξόδεψαν
case_1726,sectors,sector.This,sector.The,sub-sector,sector.It,sub-sectors,sector.But,secto,sectors.The,sector.,acitivity,activitiy,activities,activity.The,actvity,activiy,activty,activity.It,activitity,activity.This,τομέα.-,τομέαΗ,κλάδο,τομέα.2.,τομέα-,τομέα.Σε,τοµέα,τομέαν,τομέα.Ο,τομεά,δραστηριότητά,δραστηριότητας,δράση,δραστηριότητα.,δραστηριότητες,πολυδραστηριότητα,δραστηριότητα.-,δραστηριότητα-,υποδραστηριότητα,δρστηριότητα
case_1725,cloth,cloths.,clothes,Cloths,table-cloths,tablecloths,clothers,garments,tableclothes,clothings,clothing,clothers,clothese,clothes--,garments,clothings,clothes.,clothes.But,clothes.And,clothes.I,υφάσματά,ρούχα,λινά,υφάσματος,κεντήματα,κλωστοϋφαντουργικά,υφασματα,υφασματάκια,υφασμάτινα,ενδύματα,ρούχα.,ρούχα-,εσώρουχα,ενδύματα,παπούτσια,εσώρρουχα,ρουχαλάκια,υφάσματα,ρούχα.Η,ρουχάκια
case_1724,had,been,'ve,already,ahve,haved,haven,can,never,hve,getting,got,want,gets,gotten,need,give,can,try,take,εχουν,έ-χουν,είχαν,παραέχουν,έχουνε,πουέχουν,έχει,ἐχουν,Έχουν,-Έχουν,παίρνετε,πάρτε,ξαναπάρετε,δώσετε,Πάρετε,Πάρτε,αρπάξετε,λάβετε,αποκτήσετε,κρεπάρετε
case_1722,traveling,travelling,tavel,Travel,travels,trave,travel.,travel.I,travel.If,travel.The,trips,trip.This,trip.So,mini-trip,trip-,trip.It,excursion,jaunt,trip.Now,trip.The,ταξίδια-,Tαξίδια,ταξίδια.,ταξιδάκια,Ταξίδια,Σαξίδια,ταξείδια,ταξιδια,Ταξιδάκια,ταξίδια--οδθγοί,ταξίδι-,ταξίδι.Η,ταξίδιΗ,ταξίδι.,ταξίδι.Ο,ταξίδι.Το,ταξίδιΤο,ταξίδιι,ταξείδι,ταξίδιν
case_1721,live-,llive,live.I,Live,live.,live.The,live.This,living,live.And,live.They,is,will,not,should,able,thbe,so,may,can,might,ζούνε,ζούν,διαβιούν,ζουνε,κατοικούν,ζούσαν,ζήσουν,εργάζονται,διαβιώνουν,συμβιώνουν,ειναι,ότιείναι,ήταν,όμωςείναι,ναείναι,είναιπολύ,ήταν-είναι,είναιτόσο,Είναι,έιναι
case_1720,foot-steps,footstep,footsteps.,Footsteps,follow,footfalls,clomping,path,thudding,trod,step,steps.,Steps,steps.The,steps.This,steps.I,steps.In,steps.It,steps.You,steps.If,αχνάρια,ἀχνάρια,χνάρι,ίχνη,Αχνάρια,μονοπάτια,βήματά,Χνάρια,αχνάρι,βήματα,βήματά,βήματα-,βήματα.,βηματάκια,βήματαΟ,βήματαΗ,βήματα5,βήµατα,βηματα,βήματα.Η
case_1896,addtion,additon,Additionally,addiiton,adition,In,adddition,Furthermore,additions,Complementing,conclusions,conclusion.The,conlusion,conclusion.In,conclusion.It,conclusion.This,conclude,conclusion-,conclusion.I,conclusion.So,έξτρα,-επιπλέον,επιπρόσθετα,πρόσθετο,επιπλέον.,επιπρόσθετο,επιπλέον-,επιπλεόν,εξτρά,πρόσθετη,συμπέρασμα.,συμπέρασμά,συμπέρασμα-,συμπεράσμα,συμπερασμα,συμπέρασματα,συμπεράσματα,συμπέρασμαν,συμπέρα,συµπέρασµα
case_1728,writtten,writen,penned,writted,wrtten,wirtten,writeen,wriiten,authored,co-written,alluded,metioned,discussed,mentionned,noted,referenced,mentioning,mentione,stated,mentined,έγγραφη,προφορική,Γραπτή,ΕΔΕΚ9.Γραπτή,γραπτὴ,γραπτη,ενυπόγραφη,γραπτήν,γραπτ,σχετική,αναφέρει,αναφερόταν,αναφέρονται,επισημαίνεται,ανφέρεται,διευκρινίζεται,Αναφέρεται,αναφέρθηκε,-αναφέρεται,σημειώνεται
case_1739,chances,opportunity,chance.If,chance.But,chnace,chance.So,oppurtunity,opporunity,chance.I,achance,opporunity,oppportunity,opportuntiy,oppurtunity,opportunitiy,oppotunity,opporutnity,opportunities,opportunty,opprtunity,ευκαιρίανα,ευκαιρεία,ευκαιρία.,ευκαιρία-,ευκαιρί,ευκαρία,τηνευκαιρία,ευκαιρια,ευκαιριά,Ευκαιρία,ευκαιρίανα,ευκαιρεία,ευκαιρία.,ευκαιρία-,ευκαιρί,ευκαρία,τηνευκαιρία,ευκαιρια,ευκαιριά,Ευκαιρία
case_1740,live-,llive,live.I,Live,live.,live.The,live.This,living,live.And,live.They,staying,stayed,stays,Stay,Staying,stay.So,stay.If,stayng,saty,stayin,ζούνε,ζούν,διαβιούν,ζουνε,κατοικούν,ζούσαν,ζήσουν,εργάζονται,διαβιώνουν,συμβιώνουν,παραμείνετε,Mείνετε,Παραμείνετε,μένετε,Μείνετε,αναμείνετε,είστε,µείνετε,εμμείνετε,μεινετε
case_1741,day,period,time.This,time.Now,time.But,tiem,time.However,tme,moment,time.So,moments,momemt,moment.But,moment.And,moment.So,moment.The,moment-,moment.This,moment.At,moment.When,χρόνο.Με,Χρόνο,χρόνο.Κι,χρόνοα,χρόνο.-,χρόνο.Σε,χρόνο.Για,-χρόνο,χρόνο.Και,χρόνο-,στιγμή.Κι,στιγμη,στιγμή.Αν,στιγμή.Η,στιγμή.Σε,στιγμήκι,στιγμή.Και,στιγμή.-,στιγμή.Θα,στιγμήΝα
case_1760,prices,price.But,pric,price.It,price.This,price.As,price.That,price.However,price.Also,price.,prizes,prize.The,prize-,Prize,winner,prize.This,prize.,prize.It,prize.I,Prizes,τιμή-,τιµή,τιμή.Η,τιμή2,τιμής,τιμή.Αν,τιμη,αξία,τιμή.Το,τιμές,Βραβείο,-βραβείο,βραβείο-,βραβείo,βραβείο4,βραβείο5,βραβείο.,βραβείο2,βραβείο1,βραβεία
case_1759,came,proceeded,ran,drove,walked,took,Went,started,got,turned,gotten,get,getting,had,went,gotton,came,gottten,picked,figured,ξαναπήγε,επέστρεψε,πάει,γύρισε,πρωτοπήγε,-πήγε,Πήγε,πήγεν,κατέβηκε,πήγενε,έδωσε,έλαβε,πάρει,Πήρε,πήραν,-πήρε,έπαιρνε,ξαναπήρε,παίρνει,πρωτοπήρε
case_1758,shall-,shallnot,andshall,shallbe,shaU,shall.,.shall,Shall,henceforth,sliall,ought,shoud,might,must,will,would,shoudl,shouldn,may,not,έπρεπε,δενπρέπει,Πρέπει,.πρέπει,μπορεί,χρειάζεται,θαπρέπει,καιπρέπει,πρέπεινα,πρεπει,έπρεπε,δενπρέπει,Πρέπει,.πρέπει,μπορεί,χρειάζεται,θαπρέπει,καιπρέπει,πρέπεινα,πρεπει
case_1757,bringing,Bring,brings,brought,come,put,give,introduce,Bringing,provide,gives,giving,gave,Give,provide,get,gve,want,take,ask,φέρουν,έφερε,φέρνει,φέρεις,φέρει-,φέρουμε,ξαναφέρει,φέρετε,έφερνε,έρθει,δίνει,έδωσε,δώσουν,πάρει,ναδώσει,δοθεί,έδινε,ξαναδώσει,δωσει,δώσουμε
case_1756,answer,quesiton,quesion,questions,question-,question.But,question.The,question.So,question--,queston,matter,matters.It,matters.What,matters-,matters.And,matters.But,matters.So,matters.,matters.This,matters.In,απάντηση,ερώτηση-παγίδα,ερώτηση-,ερώτησή,αντερώτηση,ερώτηση-απάντηση,ερώτηση.,ερώτησι,ερώτηση-κλειδί,ερώτησης,ζητήματα,θέματα-προβλήματα,θεματα,θέματά,ζητήματά,θέματα-,θέματ,θεμάτα,θέματα-κλειδιά,θέματα-αυτά
case_1755,Do,go,'t,want,don,know,so,if,I,think,making,makes,Make,made,amke,want,sure,create,Making,easier,νακάνουμε,Κάνουμε,κανουμε,ξανακάνουμε,κάνουμε.,πρωτοκάνουμε,.Κάνουμε,θέλουμε,ξεκινήσουμε,κάναμε,έκαναν,νακάνουν,κανουν,Κάνουν,κάνουνε,ξανακάνουν,κάνει,προκάνουν,Kάνουν,.Κάνουν
case_1754,Do,go,'t,want,don,know,so,if,I,think,had,been,'ve,already,ahve,haved,haven,can,never,hve,νακάνουμε,Κάνουμε,κανουμε,ξανακάνουμε,κάνουμε.,πρωτοκάνουμε,.Κάνουμε,θέλουμε,ξεκινήσουμε,κάναμε,εχουν,έ-χουν,είχαν,παραέχουν,έχουνε,πουέχουν,έχει,ἐχουν,Έχουν,-Έχουν
case_1753,should,cannot,MUST,will,may,can,have,msut,ought,need,ought,shoud,might,must,will,would,shoudl,shouldn,may,not,έπρεπε,δενπρέπει,Πρέπει,.πρέπει,μπορεί,χρειάζεται,θαπρέπει,καιπρέπει,πρέπεινα,πρεπει,έπρεπε,δενπρέπει,Πρέπει,.πρέπει,μπορεί,χρειάζεται,θαπρέπει,καιπρέπει,πρέπεινα,πρεπει
case_1752,had,been,'ve,already,ahve,haved,haven,can,never,hve,is,will,not,should,able,thbe,so,may,can,might,εχουν,έ-χουν,είχαν,παραέχουν,έχουνε,πουέχουν,έχει,ἐχουν,Έχουν,-Έχουν,ειναι,ότιείναι,ήταν,όμωςείναι,ναείναι,είναιπολύ,ήταν-είναι,είναιτόσο,Είναι,έιναι
case_1751,sincerly,sincerley,sincere,SINCERELY,fervently,hope,appreciate,earnestly,genuinely,heartfully,devotedly,diligently,conscientiously,dutifully,faithful,Faithfully,slavishly,assiduously,zealously,obediently,-ειλικρινά,Eιλικρινά,Ειλικρινά,ειλικρινα,ειλικρινά-,ειλικρινά.,.Ειλικρινά,ειλικρινέστατα,λυπάμαι,πραγματικά,απαρέγκλιτα,Πιστά,ακολουθώντας,ευλαβικά,δουλικά,πιστότερα,έμπιστά,υποταγμένα,πειθήνια,πιστή
case_1750,enetered,re-entered,reentered,enter,exited,entering,enterd,entered.The,enterred,entere,came,proceeded,ran,drove,walked,took,Went,started,got,turned,επανεισήλθε,μπήκε,εισέρχεται,εξήλθε,Εισήλθε,εισέλθει,εισήλθεν,εισήλθαν,εισχώρησε,υπεισήλθε,ξαναπήγε,επέστρεψε,πάει,γύρισε,πρωτοπήγε,-πήγε,Πήγε,πήγεν,κατέβηκε,πήγενε
case_1749,super-excited,thrilled,exicted,psyched,EXCITED,Excited,enthused,elated,uber-excited,ecstatic,Exciting,thrilling,exiciting,exhilarating,super-exciting,excitng,exciting.The,exciting.And,exciting.This,exciting-,κατενθουσιασμένος,Ενθουσιασμένος,ενθουσιασμένη,χαρούμενος,συγκινημένος,εντυπωσιασμένος,Κατενθουσιασμένος,ἐνθουσιασμένος,κολακευμένος,ικανοποιημένος,συναρπαστικότερο,διασκεδαστικό,απολαυστικό,Συναρπαστικό,εκπληκτικό,συναρπαστική,περιπετειώδες,συναρπαστικο,καταπληκτικό,συγκλονιστικό
case_1748,scene.This,scene.It,scene.And,scene.What,scene.But,scene.The,scenes,scene--,scene.So,scene.When,stages,stage.The,stage.This,stage.In,stage.At,stage.It,Stage,stage.As,stage.When,stage.,σκηνή-,σκηνή.,σκηνή.Η,σκηνή.Ο,σκηνήΚαι,σκηνή-room,τροχοσκηνή,σκηνής,σκηνή.Το,σκηνή09,στάδιο.,στάδιο.Η,στάδιο-,στάδιο.Το,στάδιό,Στάδιο,προστάδιο,στάδι,στάδιο-θέατρο,στάδιo
case_1747,campuses,campus.The,campus.It,Campus,campus.In,campus.This,campus-,off-campus,campus.I,campus.,camps,camp.The,camp.It,camp.A,camp.This,camp.As,camp-,Camp,camp.I,camp.,πανεπιστημιούπολή,πανεπιστημιούπολης,Πανεπιστημιούπολη,Πανεπιστημιούπολης,Ζωγράφου-Πανεπιστημιούπολη,ΖωγράφουΠανεπιστημιούπολη,Πανεπιστημιόπολη,πανεπιστημιουπόλεις,πανεπιστημιόπολη,πανεπιστημιού,Στρατόπεδο,στρατοπέδου,φυλακή-στρατόπεδο,στρατόπεδα,στρατόπεδο-φυλακή,στρατόπεδου,στρατόπεδο.Ο,στρατόπεδό,τόπεδο,στρατόπεδον
case_1746,getting,got,want,gets,gotten,need,give,can,try,take,bringing,Bring,brings,brought,come,put,give,introduce,Bringing,provide,παίρνετε,πάρτε,ξαναπάρετε,δώσετε,Πάρετε,Πάρτε,αρπάξετε,λάβετε,αποκτήσετε,κρεπάρετε,φέρουν,έφερε,φέρνει,φέρεις,φέρει-,φέρουμε,ξαναφέρει,φέρετε,έφερνε,έρθει
case_1745,loook,looks,Look,looking,looked,see,look.I,glance,like,look.You,checking,Check,checked,chec,re-check,chekc,recheck,double-check,ckeck,doublecheck,Κοιτάξτε,ξανακοιτάξτε,κοιτάτε,προσέξτε,.Κοιτάξτε,κοιτάξετε,Kοιτάξτε,-Κοιτάξτε,δείτε,σκεφτείτε,ελέγξτ,ελέγξτε.Το,Eλέγξτε,ἐλέγξτε,-Ελέγξτε,Ελέγξτε,ελέγξετε,επαληθεύστε,ελέξτε,Επιλέγξτε
case_1744,have,been,hadn,got,was,were,wished,knew,wanted,Had,were,wasn,had,wass,came,seemed,wasw,went,initially,waqs,είχαν,ειχε,έχει,Είχε,είχει,είχα,.είχε,-είχε,εἶχε,είχανε,ηταν,ήτανε,Ήταν,υπήρξε,είναι,πουήταν,θαήταν,φαινόταν,αποδείχτηκε,δενήταν
case_1743,dryed,Dried,semi-dried,air-dried,half-dried,dried.,pre-dried,dry,undried,sun-dried,wet,dry-,Dry,damp,non-dry,drying,dry-ish,drier,dried,dry.This,Αποξηραμένα,ξηραμένα,αποξηραμενα,αποξεραμένα,αποξηραμένοι,αποξηραμένους,αποξηραμένη,αποξηραμένο,φρέσκα,κονιοποιημένα,Στεγνό,βρεγμένο,στεγν,στεγνωμένο,ξηρό,στεγνός,καθαρό,δροσερό,ςτεγνό,λασπωμένο
case_1742,live-,llive,live.I,Live,live.,live.The,live.This,living,live.And,live.They,staying,stayed,stays,Stay,Staying,stay.So,stay.If,stayng,saty,stayin,ζούνε,ζούν,διαβιούν,ζουνε,κατοικούν,ζούσαν,ζήσουν,εργάζονται,διαβιώνουν,συμβιώνουν,παραμείνετε,Mείνετε,Παραμείνετε,μένετε,Μείνετε,αναμείνετε,είστε,µείνετε,εμμείνετε,μεινετε
case_1806,earlier,previoius,prevous,recent,previos,subsequent,preceding,pevious,prevoius,revious,not-so-recent,semi-recent,previous,spate,most-recent,widely-publicized,well-publicized,recent-ish,Recent,more-recent,προπροηγούμενη,προ-προηγούμενη,τηνπροηγούμενη,επόμενη,περασμένη,προηγουμενη,ροηγούμενη,προηγούμενή,προηγουμένη,προηγούμεη,διαχρονικούς,θεαματικούς,μακρόχρονους,χθεσινούς,παλαιότατους,σημαντικότατους,πρώιμους,τωρινούς,παλιότερους,συγκλονιστικούς
case_1807,near-by,close-by,neighboring,vicinity,closeby,neaby,near,neighbouring,adjacent,nearbye,vicinity,nearby,Near,outskirts,close,nowhere,nearish,nearthe,near-ish,vacinity,μακρινό,κοντινότερο,γειτονικό,κοντινο,κοντινὸ,κοντινότερό,κοντικό,κοντινή,μακρυνό,μελλοντικό,ἐγγύς,μέλλον,εγγύς-άπω,άπω,Εγγύς,Eγγύς,εγγύτατο,εσπειραμένο,απώτερο,απομεμακρυσμένο
case_1723,devotedly,diligently,conscientiously,dutifully,faithful,Faithfully,slavishly,assiduously,zealously,obediently,sincerly,sincerley,sincere,SINCERELY,fervently,hope,appreciate,earnestly,genuinely,heartfully,απαρέγκλιτα,Πιστά,ακολουθώντας,ευλαβικά,δουλικά,πιστότερα,έμπιστά,υποταγμένα,πειθήνια,πιστή,-ειλικρινά,Eιλικρινά,Ειλικρινά,ειλικρινα,ειλικρινά-,ειλικρινά.,.Ειλικρινά,ειλικρινέστατα,λυπάμαι,πραγματικά
